"Paikka_Id","Aika","Arvo","Lippu_Id"
401,"1987-03-20T00:00:00",17,37
402,"1987-03-20T00:00:00",18,37
403,"1987-03-20T00:00:00",27,37
408,"1987-03-20T00:00:00",19,37
409,"1987-03-20T00:00:00",28,37
410,"1987-03-20T00:00:00",18,37
413,"1987-03-20T00:00:00",28,37
414,"1987-03-20T00:00:00",31,37
420,"1987-03-20T00:00:00",15,37
421,"1987-03-20T00:00:00",15,37
422,"1987-03-20T00:00:00",11,37
424,"1987-03-20T00:00:00",21,37
426,"1987-03-20T00:00:00",11,37
428,"1987-03-20T00:00:00",14,37
429,"1987-03-20T00:00:00",21,37
430,"1987-03-20T00:00:00",19,37
432,"1987-03-20T00:00:00",25,37
433,"1987-03-20T00:00:00",20,37
434,"1987-03-20T00:00:00",21,37
436,"1987-03-20T00:00:00",30,37
437,"1987-03-20T00:00:00",27,37
438,"1987-03-20T00:00:00",24,37
439,"1987-03-20T00:00:00",27,37
440,"1987-03-20T00:00:00",27,37
442,"1987-03-20T00:00:00",19,37
444,"1987-03-20T00:00:00",26,37
445,"1987-03-20T00:00:00",31,37
449,"1987-03-20T00:00:00",21,37
450,"1987-03-20T00:00:00",32,37
452,"1987-03-20T00:00:00",30,37
454,"1987-03-20T00:00:00",24,37
456,"1987-03-20T00:00:00",27,37
457,"1987-03-20T00:00:00",25,37
458,"1987-03-20T00:00:00",26,37
460,"1987-03-20T00:00:00",23,37
461,"1987-03-20T00:00:00",11,37
463,"1987-03-20T00:00:00",12,37
464,"1987-03-20T00:00:00",18,37
470,"1987-03-20T00:00:00",27,37
472,"1987-03-20T00:00:00",14,37
473,"1987-03-20T00:00:00",11,37
474,"1987-03-20T00:00:00",14,37
476,"1987-03-20T00:00:00",18,37
478,"1987-03-20T00:00:00",16,37
479,"1987-03-20T00:00:00",32,37
480,"1987-03-20T00:00:00",20,37
481,"1987-03-20T00:00:00",32,37
483,"1987-03-20T00:00:00",35,37
485,"1987-03-20T00:00:00",13,37
486,"1987-03-20T00:00:00",17,37
489,"1987-03-20T00:00:00",11,37
490,"1987-03-20T00:00:00",19,37
491,"1987-03-20T00:00:00",25,37
493,"1987-03-20T00:00:00",26,37
494,"1987-03-20T00:00:00",25,37
495,"1987-03-20T00:00:00",22,37
496,"1987-03-20T00:00:00",21,37
497,"1987-03-20T00:00:00",26,37
500,"1987-03-20T00:00:00",12,37
502,"1987-03-20T00:00:00",22,37
503,"1987-03-20T00:00:00",21,37
506,"1987-03-20T00:00:00",23,37
507,"1987-03-20T00:00:00",36,37
509,"1987-03-20T00:00:00",40,37
513,"1987-03-20T00:00:00",43,37
514,"1987-03-20T00:00:00",39,37
