"Paikka_Id","Aika","Arvo","Syvyys"
3247,"1950-07-30T00:00:00","18.84","0.00"
3247,"1950-07-30T00:00:00","17.79","1.00"
3247,"1950-07-30T00:00:00","16.54","2.00"
3247,"1950-07-30T00:00:00","16.51","3.00"
3247,"1950-07-30T00:00:00","16.48","4.00"
3247,"1950-07-30T00:00:00","16.31","5.00"
3247,"1950-07-30T00:00:00","16.21","6.00"
3247,"1950-07-30T00:00:00","15.70","7.00"
3247,"1950-07-30T00:00:00","15.40","8.00"
3247,"1950-07-30T00:00:00","14.41","9.00"
3247,"1950-07-30T00:00:00","12.31","10.00"
3247,"1950-07-30T00:00:00","11.55","11.00"
3247,"1950-07-30T00:00:00","11.21","12.00"
3247,"1950-07-30T00:00:00","11.12","13.00"
3247,"1950-07-30T00:00:00","11.04","14.00"
3247,"1950-07-30T00:00:00","10.99","15.00"
3247,"1950-07-30T00:00:00","10.82","16.00"
3247,"1950-07-30T00:00:00","10.72","17.00"
3247,"1950-07-30T00:00:00","10.54","18.00"
3247,"1950-07-30T00:00:00","10.45","19.00"
3247,"1950-07-30T00:00:00","10.37","20.00"
3247,"1950-07-30T00:00:00","10.21","22.00"
3247,"1950-07-30T00:00:00","9.89","24.00"
3247,"1950-07-30T00:00:00","9.84","26.00"
3247,"1950-07-30T00:00:00","9.80","28.00"
3247,"1950-07-30T00:00:00","9.66","30.00"
3247,"1950-07-30T00:00:00","9.50","32.00"
3247,"1950-07-30T00:00:00","9.33","34.00"
3247,"1950-07-30T00:00:00","9.14","36.00"
3247,"1950-07-30T00:00:00","9.10","38.00"
3247,"1950-07-30T00:00:00","8.96","40.00"
3247,"1950-07-30T00:00:00","8.89","42.00"
3247,"1950-07-30T00:00:00","8.85","44.00"
3247,"1950-07-30T00:00:00","8.81","46.00"
3247,"1950-07-30T00:00:00","8.66","48.00"
3247,"1950-07-30T00:00:00","8.50","50.00"
3247,"1950-07-30T00:00:00","7.91","55.00"
3247,"1950-07-30T00:00:00","7.66","60.00"
3247,"1950-07-30T00:00:00","7.51","65.00"
3245,"1961-01-06T00:00:00","0.30","0.00"
3245,"1961-01-06T00:00:00","0.50","5.00"
3245,"1961-01-06T00:00:00","0.70","10.00"
3245,"1961-01-06T00:00:00","1.10","15.00"
3245,"1961-01-06T00:00:00","1.20","20.00"
3245,"1961-01-06T00:00:00","1.30","25.00"
3254,"1961-01-13T00:00:00","0.00","0.00"
3254,"1961-01-13T00:00:00","1.30","5.00"
3254,"1961-01-13T00:00:00","1.50","10.00"
3254,"1961-01-13T00:00:00","1.80","15.00"
3254,"1961-01-13T00:00:00","2.40","20.00"
3254,"1961-01-13T00:00:00","3.00","24.00"
3254,"1961-01-13T00:00:00","3.20","30.00"
3254,"1961-01-13T00:00:00","3.40","40.00"
3254,"1961-01-13T00:00:00","3.80","42.00"
3245,"1961-01-16T00:00:00","0.30","0.00"
3245,"1961-01-16T00:00:00","0.50","5.00"
3245,"1961-01-16T00:00:00","0.70","10.00"
3245,"1961-01-16T00:00:00","1.10","15.00"
3245,"1961-01-16T00:00:00","1.20","20.00"
3245,"1961-01-16T00:00:00","1.30","25.00"
3254,"1961-01-20T00:00:00","0.02","0.00"
3254,"1961-01-20T00:00:00","1.20","5.00"
3254,"1961-01-20T00:00:00","1.40","10.00"
3254,"1961-01-20T00:00:00","1.80","15.00"
3254,"1961-01-20T00:00:00","2.40","20.00"
3254,"1961-01-20T00:00:00","2.90","24.00"
3254,"1961-01-20T00:00:00","3.20","30.00"
3254,"1961-01-20T00:00:00","3.80","40.00"
3254,"1961-01-20T00:00:00","3.80","42.00"
3245,"1961-01-26T00:00:00","0.30","0.00"
3245,"1961-01-26T00:00:00","0.40","5.00"
3245,"1961-01-26T00:00:00","0.80","10.00"
3245,"1961-01-26T00:00:00","1.20","15.00"
3245,"1961-01-26T00:00:00","1.30","20.00"
3245,"1961-01-26T00:00:00","1.40","25.00"
3254,"1961-01-27T00:00:00","0.00","0.00"
3254,"1961-01-27T00:00:00","1.10","5.00"
3254,"1961-01-27T00:00:00","1.50","10.00"
3254,"1961-01-27T00:00:00","2.00","15.00"
3254,"1961-01-27T00:00:00","2.60","20.00"
3254,"1961-01-27T00:00:00","3.10","24.00"
3254,"1961-01-27T00:00:00","3.30","30.00"
3254,"1961-01-27T00:00:00","3.70","40.00"
3254,"1961-01-27T00:00:00","3.80","42.00"
3254,"1961-02-03T00:00:00","0.00","0.00"
3254,"1961-02-03T00:00:00","1.10","5.00"
3254,"1961-02-03T00:00:00","1.40","10.00"
3254,"1961-02-03T00:00:00","1.90","15.00"
3254,"1961-02-03T00:00:00","2.50","20.00"
3254,"1961-02-03T00:00:00","3.00","24.00"
3254,"1961-02-03T00:00:00","3.30","30.00"
3254,"1961-02-03T00:00:00","3.70","40.00"
3254,"1961-02-03T00:00:00","3.80","42.00"
3245,"1961-02-05T00:00:00","0.20","0.00"
3245,"1961-02-05T00:00:00","0.50","5.00"
3245,"1961-02-05T00:00:00","1.50","10.00"
3245,"1961-02-05T00:00:00","1.80","15.00"
