"Paikka_Id","Arvo","Lippu_id"
3293,"1753-05-17T00:00:00",28
3293,"1754-05-07T00:00:00",28
3293,"1755-05-17T00:00:00",28
3293,"1756-05-27T00:00:00",28
3293,"1757-05-01T00:00:00",28
3293,"1758-05-16T00:00:00",28
3293,"1759-05-20T00:00:00",28
3293,"1760-05-21T00:00:00",28
3293,"1761-05-12T00:00:00",28
3293,"1762-05-14T00:00:00",28
3293,"1763-05-22T00:00:00",28
3293,"1764-05-26T00:00:00",28
3293,"1765-05-25T00:00:00",28
3293,"1766-05-19T00:00:00",28
3293,"1767-05-18T00:00:00",28
3293,"1768-05-17T00:00:00",28
3293,"1769-05-22T00:00:00",28
3293,"1770-05-02T00:00:00",28
3293,"1771-05-20T00:00:00",28
3293,"1772-05-27T00:00:00",28
3293,"1773-05-01T00:00:00",28
3293,"1774-05-05T00:00:00",28
3293,"1775-05-24T00:00:00",28
3293,"1776-05-17T00:00:00",28
3293,"1777-05-09T00:00:00",28
3293,"1778-05-07T00:00:00",28
3293,"1779-05-14T00:00:00",28
3293,"1780-05-26T00:00:00",28
3293,"1781-05-18T00:00:00",28
3293,"1782-05-17T00:00:00",28
3293,"1783-05-17T00:00:00",28
3293,"1784-05-16T00:00:00",28
3293,"1785-05-23T00:00:00",28
3293,"1786-05-21T00:00:00",28
3293,"1787-05-17T00:00:00",28
3293,"1788-05-19T00:00:00",28
3293,"1789-05-18T00:00:00",28
3293,"1790-05-20T00:00:00",28
3293,"1791-05-24T00:00:00",28
3293,"1792-05-14T00:00:00",28
3293,"1793-05-08T00:00:00",28
3293,"1794-05-12T00:00:00",28
3293,"1795-05-24T00:00:00",28
3293,"1796-05-15T00:00:00",28
3293,"1797-05-18T00:00:00",28
3293,"1798-05-10T00:00:00",28
3293,"1799-05-15T00:00:00",28
3293,"1800-05-21T00:00:00",28
3293,"1801-05-09T00:00:00",28
3293,"1802-05-23T00:00:00",28
3293,"1803-05-03T00:00:00",28
3293,"1804-05-04T00:00:00",28
3293,"1805-05-15T00:00:00",28
3293,"1806-05-14T00:00:00",28
3293,"1807-06-02T00:00:00",28
3293,"1808-05-21T00:00:00",28
3293,"1809-05-17T00:00:00",28
3293,"1810-06-03T00:00:00",28
3293,"1811-05-22T00:00:00",28
3293,"1812-05-24T00:00:00",28
3293,"1813-05-22T00:00:00",28
3293,"1814-05-28T00:00:00",28
3293,"1815-05-17T00:00:00",28
3293,"1816-05-27T00:00:00",28
3293,"1817-05-19T00:00:00",28
3293,"1818-05-15T00:00:00",28
3293,"1819-05-18T00:00:00",28
3293,"1820-05-20T00:00:00",28
3293,"1821-05-11T00:00:00",28
253,"1822-05-02T00:00:00",28
3293,"1822-05-04T00:00:00",28
253,"1823-05-18T00:00:00",28
3293,"1823-05-23T00:00:00",28
253,"1824-05-10T00:00:00",28
3293,"1824-05-12T00:00:00",28
3293,"1825-05-15T00:00:00",28
253,"1825-05-19T00:00:00",28
3293,"1826-05-11T00:00:00",28
253,"1826-05-15T00:00:00",28
253,"1827-05-10T00:00:00",28
3293,"1827-05-12T00:00:00",28
3293,"1828-05-08T00:00:00",28
253,"1828-05-19T00:00:00",28
3293,"1829-05-11T00:00:00",28
253,"1829-05-14T00:00:00",28
3293,"1830-05-20T00:00:00",28
253,"1830-05-24T00:00:00",28
3293,"1831-05-16T00:00:00",28
253,"1831-05-18T00:00:00",28
3293,"1832-05-04T00:00:00",28
253,"1832-05-09T00:00:00",28
3293,"1833-05-13T00:00:00",28
253,"1833-05-19T00:00:00",28
253,"1833-12-13T00:00:00",30
3293,"1834-05-13T00:00:00",28
253,"1834-05-14T00:00:00",28
253,"1834-05-15T00:00:00",27
253,"1834-11-14T00:00:00",30
253,"1835-05-24T00:00:00",28
3293,"1835-05-27T00:00:00",28
253,"1835-11-19T00:00:00",30
