"Paikka_Id","Aika","Arvo","Lippu_Id"
449,"2016-11-20T00:00:00",0,37
470,"2016-11-20T00:00:00",0,37
495,"2016-11-20T00:00:00",0,37
503,"2016-11-20T00:00:00",0,37
509,"2016-11-20T00:00:00",0,37
528,"2016-11-20T00:00:00",8,37
540,"2016-11-20T00:00:00",0,37
2585,"2016-11-20T00:00:00",0,37
2587,"2016-11-20T00:00:00",3,37
449,"2016-11-20T00:00:00",12,38
470,"2016-11-20T00:00:00",12,38
495,"2016-11-20T00:00:00",11,38
503,"2016-11-20T00:00:00",11,38
509,"2016-11-20T00:00:00",14,38
528,"2016-11-20T00:00:00",21,38
540,"2016-11-20T00:00:00",20,38
2585,"2016-11-20T00:00:00",12,38
2587,"2016-11-20T00:00:00",25,38
449,"2016-11-20T00:00:00",0,39
470,"2016-11-20T00:00:00",0,39
495,"2016-11-20T00:00:00",0,39
503,"2016-11-20T00:00:00",0,39
509,"2016-11-20T00:00:00",0,39
540,"2016-11-20T00:00:00",0,39
2585,"2016-11-20T00:00:00",0,39
2587,"2016-11-20T00:00:00",0,39
412,"2016-11-20T00:00:00",0,41
421,"2016-11-20T00:00:00",0,41
449,"2016-11-20T00:00:00",12,41
457,"2016-11-20T00:00:00",0,41
458,"2016-11-20T00:00:00",0,41
469,"2016-11-20T00:00:00",0,41
470,"2016-11-20T00:00:00",11,41
474,"2016-11-20T00:00:00",0,41
491,"2016-11-20T00:00:00",0,41
495,"2016-11-20T00:00:00",12,41
503,"2016-11-20T00:00:00",10,41
506,"2016-11-20T00:00:00",0,41
509,"2016-11-20T00:00:00",15,41
523,"2016-11-20T00:00:00",0,41
528,"2016-11-20T00:00:00",21,41
540,"2016-11-20T00:00:00",19,41
541,"2016-11-20T00:00:00",0,41
2585,"2016-11-20T00:00:00",12,41
2587,"2016-11-20T00:00:00",23,41
449,"2016-11-20T00:00:00",0,112
470,"2016-11-20T00:00:00",0,112
495,"2016-11-20T00:00:00",0,112
503,"2016-11-20T00:00:00",0,112
509,"2016-11-20T00:00:00",0,112
528,"2016-11-20T00:00:00",0,112
540,"2016-11-20T00:00:00",0,112
2585,"2016-11-20T00:00:00",0,112
2587,"2016-11-20T00:00:00",0,112
449,"2016-11-20T00:00:00",12,113
470,"2016-11-20T00:00:00",11,113
495,"2016-11-20T00:00:00",12,113
503,"2016-11-20T00:00:00",10,113
509,"2016-11-20T00:00:00",15,113
528,"2016-11-20T00:00:00",21,113
540,"2016-11-20T00:00:00",19,113
2585,"2016-11-20T00:00:00",12,113
2587,"2016-11-20T00:00:00",23,113
449,"2016-11-20T00:00:00",0,114
470,"2016-11-20T00:00:00",0,114
495,"2016-11-20T00:00:00",0,114
503,"2016-11-20T00:00:00",0,114
509,"2016-11-20T00:00:00",0,114
528,"2016-11-20T00:00:00",0,114
540,"2016-11-20T00:00:00",0,114
2585,"2016-11-20T00:00:00",0,114
2587,"2016-11-20T00:00:00",0,114
527,"2016-11-22T00:00:00",0,41
2586,"2016-11-22T00:00:00",0,41
486,"2016-11-23T00:00:00",0,41
458,"2016-11-25T00:00:00",0,41
2585,"2016-11-26T00:00:00",4,41
506,"2016-11-29T00:00:00",8,37
514,"2016-11-29T00:00:00",10,37
528,"2016-11-29T00:00:00",17,37
506,"2016-11-29T00:00:00",14,38
514,"2016-11-29T00:00:00",25,38
528,"2016-11-29T00:00:00",25,38
514,"2016-11-29T00:00:00",6,39
421,"2016-11-29T00:00:00",0,41
506,"2016-11-29T00:00:00",14,41
514,"2016-11-29T00:00:00",25,41
528,"2016-11-29T00:00:00",25,41
541,"2016-11-29T00:00:00",0,41
506,"2016-11-29T00:00:00",0,112
514,"2016-11-29T00:00:00",5,112
528,"2016-11-29T00:00:00",2,112
506,"2016-11-29T00:00:00",14,113
514,"2016-11-29T00:00:00",19,113
528,"2016-11-29T00:00:00",23,113
506,"2016-11-29T00:00:00",0,114
514,"2016-11-29T00:00:00",1,114
528,"2016-11-29T00:00:00",0,114
401,"2016-11-30T00:00:00",9,37
412,"2016-11-30T00:00:00",11,37
449,"2016-11-30T00:00:00",12,37
470,"2016-11-30T00:00:00",1,37
495,"2016-11-30T00:00:00",9,37
509,"2016-11-30T00:00:00",2,37
523,"2016-11-30T00:00:00",13,37
2585,"2016-11-30T00:00:00",14,37
2587,"2016-11-30T00:00:00",6,37
401,"2016-11-30T00:00:00",12,38
412,"2016-11-30T00:00:00",11,38
449,"2016-11-30T00:00:00",10,38
470,"2016-11-30T00:00:00",7,38
495,"2016-11-30T00:00:00",15,38
509,"2016-11-30T00:00:00",21,38
523,"2016-11-30T00:00:00",25,38
2585,"2016-11-30T00:00:00",16,38
2587,"2016-11-30T00:00:00",27,38
401,"2016-11-30T00:00:00",0,39
449,"2016-11-30T00:00:00",2,39
470,"2016-11-30T00:00:00",0,39
495,"2016-11-30T00:00:00",0,39
509,"2016-11-30T00:00:00",0,39
523,"2016-11-30T00:00:00",0,39
2585,"2016-11-30T00:00:00",2,39
2587,"2016-11-30T00:00:00",2,39
401,"2016-11-30T00:00:00",12,41
412,"2016-11-30T00:00:00",10,41
421,"2016-11-30T00:00:00",0,41
449,"2016-11-30T00:00:00",10,41
457,"2016-11-30T00:00:00",0,41
458,"2016-11-30T00:00:00",0,41
469,"2016-11-30T00:00:00",0,41
470,"2016-11-30T00:00:00",7,41
474,"2016-11-30T00:00:00",0,41
486,"2016-11-30T00:00:00",0,41
491,"2016-11-30T00:00:00",0,41
495,"2016-11-30T00:00:00",15,41
509,"2016-11-30T00:00:00",21,41
523,"2016-11-30T00:00:00",25,41
527,"2016-11-30T00:00:00",0,41
2585,"2016-11-30T00:00:00",15,41
2587,"2016-11-30T00:00:00",27,41
401,"2016-11-30T00:00:00",0,112
412,"2016-11-30T00:00:00",0,112
449,"2016-11-30T00:00:00",3,112
470,"2016-11-30T00:00:00",0,112
495,"2016-11-30T00:00:00",0,112
509,"2016-11-30T00:00:00",0,112
2585,"2016-11-30T00:00:00",2,112
401,"2016-11-30T00:00:00",12,113
412,"2016-11-30T00:00:00",10,113
449,"2016-11-30T00:00:00",7,113
470,"2016-11-30T00:00:00",7,113
495,"2016-11-30T00:00:00",15,113
509,"2016-11-30T00:00:00",21,113
2585,"2016-11-30T00:00:00",13,113
401,"2016-11-30T00:00:00",0,114
412,"2016-11-30T00:00:00",0,114
449,"2016-11-30T00:00:00",0,114
470,"2016-11-30T00:00:00",0,114
495,"2016-11-30T00:00:00",0,114
509,"2016-11-30T00:00:00",0,114
2585,"2016-11-30T00:00:00",0,114
500,"2016-12-01T00:00:00",10,37
540,"2016-12-01T00:00:00",8,37
